ScenId,AID,ProjDate,Variable,Field1,Proj0,Proj1,Proj2,Proj3,Proj4,Proj5,Proj6,Proj7,Proj8,Proj9,Proj10
002,12556,20170631,ME,0,12954036.06,11951817.48,10237135.41,9869048.731,8084817.631,7433125.433,7331920.747,6173650.193,6089445.626,5279786.809,4620792.221
002,12556,20170631,Interest,0,1915403.651,5297993.714,4846274.812,2037338.971,3056904.906,511682.4379,3408447.881,1322209.707,1327721.224,1269968.657,477809.1059
002,12556,20170631,PrinPmt,0,989943.2811,1693680.435,363578.308,1762377.618,643710.1915,99965.1189,1144083.913,83173.21882,799742.0158,650923.1417,885227.8186
002,12798,20170631,BV,0,14525690.72,12781005.66,10849309.69,8913973.521,8442037.091,7020706.059,6928262.505,6271234.608,5291893.106,5282434.045,4907024.193
002,12798,20170631,ME,0,14705809.28,12939490.13,10983841.13,9024506.793,8546718.351,7107762.814,7014172.96,6348997.917,5357512.581,5347936.227,4967871.293
002,12798,20170631,Interest,0,7219589.875,3080627.735,1623271.158,929414.9453,609822.1058,1425481.136,3459149.707,626913.3264,1322098.381,2630776.978,1349357.128
002,12798,20170631,PrinPmt,0,1744685.06,1931695.968,1935336.169,471936.4301,1421331.032,92443.55395,657027.8973,979341.502,9459.060848,375409.8522,118720.7676
002,13126,20170631,BV,0,13475695.54,10815103.01,9774987.33,9230932.127,7791969.687,6524166.843,6155577.732,5151874.04,4259772.072,4151937.805,4096439.523
002,13126,20170631,ME,0,13642794.16,10949210.29,9896197.173,9345395.686,7888590.111,6605066.512,6231906.896,5215757.278,4312593.245,4203421.834,4147235.374
002,13126,20170631,Interest,0,403773.2003,4261009.007,892202.2122,3416777.954,2948101.417,1866710.48,1001865.914,2392279.415,686138.8796,1489768.514,1254286.619
002,13126,20170631,PrinPmt,0,2660592.524,1040115.681,544055.2027,1438962.441,1267802.843,368589.111,1003703.692,892101.9683,107834.2664,55498.28167,489903.9975
